,clean_text,retweets,favorites
170,"Rory McIlroy To Use Callaway Woods and Irons, Odyssey Putter At BMW South African Open   y-mcilroy-callaway/ … via",0.0,0.0
171,Brisbane BMW Series Launch Projection Mapping - YouTube . f57QQ …,0.0,1.0
172,"JUST LISTED: BMW M6"" . /Calgary/Alberta/22030 …""",0.0,0.0
173,"Brand new gloss carbon fibre material used on the interior trims, roof and spoiler on this BMW F10. Finally found...  ",0.0,0.0
174,The price has changed on our BMW X5. Take a look: . s/3-4619036 …,0.0,0.0
175,Checkout my tuning series at DTuning . bmw/3.series/touring.2006/claytonjoseph/rF92dWlO4q …,0.0,0.0
176,holy shit chef I got a BMW following me happy new year,0.0,1.0
177,Buy Car Battery For BMW Z4 i AT Petrol BMW Z4 i AT Petrol Online at   petrol-bmw-car-battery-price-list/ …,0.0,0.0
178,DG Marketing &amp; Design teams up with BMW - Satellite PR News (press release) https:// …,0.0,0.0
179,DG Marketing &amp; Design teams up with BMW - Satellite PR News (press release) https:// …,0.0,0.0
180,DG Marketing &amp; Design teams up with BMW - Satellite PR News (press release) https:// …,0.0,0.0
181,My mother won't let me get a BMW with MY own money,0.0,0.0
182,_UK video link not work any more,0.0,0.0
183,Please RT? Road Test: BMW e iPerformance - Pushing the Limits of Performance and...  ,0.0,0.0
184,bmw series reliability  ,0.0,0.0
185,Snowy New Years Eve in,5.0,26.0
186,New post on my blog: bmw ipad holder  ,0.0,0.0
187,New post on my blog: bmw hd wallpaper  ,0.0,0.0
188,New post on my blog: bmw downtown houston  ,0.0,0.0
189,New post on my blog: bmw accessories amazon  ,0.0,0.0
190,New post on my blog: bmw series reliability  ,0.0,0.0
191,New post on my blog: bmw i rive  ,0.0,0.0
192,New post on my blog: bmw i coupe specs  ,0.0,0.0
193,"Rory McIlroy To Use Callaway Woods and Irons, Odyssey Putter, Titleist Ball And Wedges At BMW South African Open   y-mcilroy-callaway/ …",1.0,0.0
194,my friend mourned the car for a bit since theres only a few of these models left (v8 e34 bmw ). They're still looking for the dude,0.0,0.0
195,BMW Series M coupe around Top Gear test track ⇒ https://,0.0,0.0
196,Silverstone BMW M5 With Blue Wheels & A Custom Exhaust Installed   m/2016/2pDJS … via,0.0,0.0
197,Wishing you all a very special holiday!,3.0,3.0
198,"KTM Motocross Graphic Kits, KTM MX , Sled Graphic Kits, Motorcycle Graphics . graphickitsatv.com",0.0,2.0
199,Best source of BMW cars and SUVs for sale and FREE   Updated hourly with new stock,0.0,0.0
200,Stop What You're Doing: Someone Has Put An -Litre Viper V10 In A BMW Z4  ,0.0,0.0
201,"Wrapping up the process of getting a new car for my lady and I have a huge complaint about Audi, BMW and VW in particular...",0.0,0.0
202,"BMW Series Li rive, Detailed Walkaround ⇒ https://",0.0,0.0
203,subaru forester turbo VS bmw m3 turbo start ⇒ https://,0.0,0.0
204,"Rory McIlroy To Use Callaway Woods and Irons, Odyssey Putter, Titleist Ball And Wedges At BMW South African Open…  ",0.0,0.0
205,bmw bmwmnation _mpower … .,0.0,0.0
206,Kennt sich jemand mit bmw aus ? . WHdhZVlXall8MWRSSlpYck9yTUFLQvfouXC9Ekf2Y4hJp3BpHYLUkSGFTC1spnKyoB_DZcps …,0.0,0.0
207,BMW E30 i Coupe Spares or Repair ->  ,0.0,2.0
208,BMW Other for Sale in United Kingdom   -bmw-5-series-30-535d-m-sport-4dr-39254.html …,0.0,0.0
209,Please RT? Road Test: BMW e iPerformance - Pushing the Limits of Performance and...  ,0.0,0.0
210,Should you buy a used BMW i3? - BMWBLOG (blog)  ,0.0,0.0
211,So me and my brother do this once a week maybe even more discuss about what's better his BMW or my Audi and this is sorta how our convos go,0.0,1.0
212,https:// ent-automakers-embracing-digital-business-models?utm_campaign=harvardbiz&utm_source=twitter&utm_mediumcial …,0.0,0.0
213,M models will stay rear-wheel drive as long as possible ... https://,0.0,0.0
214,red bmw convertible  ,0.0,0.0
215,New post on my blog: compare bmw models  ,0.0,0.0
216,New post on my blog: casey bmw newport news  ,0.0,0.0
217,New post on my blog: bmw plant greer sc  ,0.0,0.0
218,New post on my blog: bmw autocross  ,0.0,0.0
219,"BMW i. dent on the hood with a nasty center scratch. The customer wasn't only the… . """,0.0,0.0
220,"Saw Amet Nicholas BMW turned into mw, just nice after countdown party at am. Knew it was him. Saw his car before",0.0,0.0
221,how does it compare with BMW ? just cheaper?,0.0,1.0
222,| BMW Moulding Clips W/Rubber Boot -13-8-166-675 https://,0.0,0.0
223,BMW Motorrad Vision Next ...   a2c306c77e07/ …,0.0,0.0
224,BMW enlarges its Rosslyn plant for    ,0.0,0.0
225,BMW S1000RR BMW S1000RR RR S1KRR S1000 RR SUPER SPORT RACE BMW CT   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=152368891916&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
226,Should you buy a used BMW i3?  ,0.0,0.0
227,Hawaii's BEST source for BMW cars and SUVs for sale and FREE  ,0.0,0.0
228,"BMW Series i rive AWD .. Open on /01/17 .. Large Awesome Selection, Low Prices, Good Credit,...  ",0.0,0.0
229,"BMW X5 i for sale in Moonachie, NJ . s/43e9b7e0b0d449cf93f66e1c80f49017 …",0.0,0.0
230,BMW -SERIES.$:16999.Bixby Oklahoma.918-798-5669. Kirkpatrick Auto Sales . ?ID=240756 …,0.0,0.0
231,Presenting the BMW E90s that we will be entering into WCS League! Ilija Brekalo and Borna Špoljarić are set to...  ,0.0,0.0
232,In-depth video comparison of BMW N54 vs N54 inline-6 engines via /r/cars  ,0.0,0.0
233,Really want a bmw like now,0.0,0.0
234,"Serpa BMW wishes you all the best for the New Year, and thank you for your much appreciated support.  ",0.0,0.0
235,BMWMotorsport: And the same goes for everyone at BMW Motorsport. See you at the racetrack in ! https:// …,0.0,1.0
236,right -I was on a BMW poker run years ago & one of the stops was a strip club--I sneaked out and waited in front on sidewalk,0.0,0.0
237,HAPPY NEW YEAR $1M BMW X6M SPEED NEW LIFE MONEY CURRENCY LIFESTYLE HARDWORK TRAVEL NEW DIMENSIONS KEVIN KARANJA peace*,0.0,1.0
238,And the same goes for everyone at BMW Motorsport. See you at the racetrack in ! https:// …,16.0,51.0
239,Police: BMW Slams Into Oxnard Home At End Of Pursuit - CBS Local  ,0.0,0.0
240,"Please RT? Guests at the th BMW Motorrad Days drink more than ,000 litres of beer, eat...  ",0.0,0.0
241,The Vorsteiner V-FF Wheels Are Finally In and Ready To Ship!,0.0,1.0
242,pre owned bmw series  ,0.0,0.0
243,bmw x3 ground clearance  ,0.0,0.0
244,"August , : Engine for the BMW Alpina M3 driven by...  ",3.0,0.0
245,"Round ( of Monrovia - in Monrovia, CA) .",0.0,1.0
246,BMW Series Park Assistant ⇒ https://,0.0,0.0
247,BMW S1000RR BMW S1000RR NICE AND CLEAN RR S1000 R R SPORT BMW CT   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=152368891905&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
248,BMW Z4 si Custom Magnaflow Exhaust ⇒ https://,0.0,0.0
